timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1761482263456,98,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-5147,text,false,,2599,0,9109,13367,http://localhost/get,0,0,0
1761482263450,102,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-7443,text,false,,2599,0,9106,13364,http://localhost/get,0,0,0
1761482263459,90,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-7935,text,false,,2599,0,9104,13362,http://localhost/get,0,0,0
1761482262187,599,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-8032,text,false,,2599,0,8283,12523,http://localhost/get,0,0,0
1761482262170,616,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-8405,text,false,,2599,0,8282,12522,http://localhost/get,0,0,0
1761482263440,104,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-7950,text,false,,2599,0,9091,13348,http://localhost/get,0,0,0
1761482258892,3894,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-5686,text,false,,2599,0,8281,12521,http://localhost/get,0,0,0
1761482261585,1201,PATCH Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:80 failed to respond,Load Test 1-130,text,false,,2065,0,8281,12521,http://localhost/patch,0,0,0
1761482261020,1765,PUT Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:80 failed to respond,Load Test 1-634,text,false,,2065,0,8281,12521,http://localhost/put,0,0,0
1761482263449,95,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-5117,text,false,,2599,0,9091,13348,http://localhost/get,0,0,0
1761482258622,4163,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-4117,text,false,,2599,0,8281,12521,http://localhost/get,0,0,59
1761482258623,4162,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-4918,text,false,,2599,0,8281,12521,http://localhost/get,0,0,135
1761482258626,4159,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-5489,text,false,,2599,0,8281,12521,http://localhost/get,0,0,16
1761482263451,92,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-7491,text,false,,2599,0,9088,13345,http://localhost/get,0,0,0
1761482260679,2106,PUT Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:80 failed to respond,Load Test 1-186,text,false,,2065,0,8281,12521,http://localhost/put,0,0,0
1761482258640,4145,GET Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Load Test 1-5475,text,false,,2599,0,8281,12521,http://localhost/get,0,0,0
